Quartier,Surface,Chambres,AnneeConstruction,DistanceCentreVille,QualiteQuartier,Adresse,Prix
RiadSalam,132.7,2,2012,4939.46,5,"13 Rue F, Agadir",344758.0
Alatlas,178.22,2,1999,4603.08,4,"93 Rue B, Béni Mellal",327196.0
Alatlas,293.88,2,1992,3727.83,1,"54 Rue E, Béni Mellal",298558.0
Taqaddom,151.63,3,1994,973.82,5,"42 Rue C, Rabat",146915.0
Elhouda,231.35,2,1992,1577.48,7,"81 Rue B, Rabat",182266.0
Taqaddom,165.04,4,2002,1340.82,1,"27 Rue E, Marrakech",157331.0
Almassira1,254.69,4,2008,2099.58,2,"55 Rue A, Agadir",209030.0
Elkasba,126.17,2,2013,1559.83,9,"28 Rue A, Tanger",171246.0
RiadSalam,293.96,4,2013,1599.98,5,"42 Rue B, Béni Mellal",188252.0
Sisalem,190.76,3,2006,3275.28,7,"52 Rue F, Tanger",261478.0
Elhouda,147.21,2,1999,1934.16,2,"2 Rue D, Agadir",192145.0
Almassira1,114.7,2,1991,3547.23,7,"59 Rue B, Béni Mellal",270202.0
Elkasba,133.95,3,2012,4765.5,7,"85 Rue C, Fes",326429.0
Almassira1,203.95,4,1995,3373.15,7,"80 Rue C, Béni Mellal",271608.0
Elhouda,167.4,3,1991,3882.46,5,"9 Rue B, Marrakech",284935.0
Taqaddom,265.78,3,2010,3882.11,9,"39 Rue E, Marrakech",297943.0
Elkasba,186.18,4,2018,1988.16,2,"14 Rue F, Rabat",194701.0
Sisalem,149.74,3,1996,567.31,4,"73 Rue B, Tanger",120002.0
Alatlas,223.43,4,2018,747.72,2,"13 Rue E, Tanger",141954.0
Elhouda,241.36,4,2012,1769.27,8,"81 Rue F, Marrakech",191811.0
Elhouda,133.41,3,2022,3602.94,1,"87 Rue F, Agadir",275417.0
Alatlas,133.52,4,1997,4580.07,9,"43 Rue B, Fes",323626.0
Taqaddom,107.33,3,2001,4814.59,5,"98 Rue F, Tanger",325219.0
Elkasba,247.28,4,1999,616.32,3,"86 Rue D, Béni Mellal",131888.0
RiadSalam,232.76,2,2004,4955.39,4,"43 Rue A, Rabat",351514.0
Almassira1,194.93,4,2013,1951.24,1,"75 Rue D, Marrakech",198026.0
Sisalem,268.83,4,2015,4293.3,3,"66 Rue F, Fes",314720.0
Taqaddom,261.13,3,1992,1311.33,8,"30 Rue E, Rabat",172523.0
Haycharaf,217.07,4,1991,783.04,2,"91 Rue A, Agadir",140656.0
Elkasba,273.65,2,1995,2202.6,2,"3 Rue E, Béni Mellal",211960.0
Sisalem,141.17,2,2010,4365.16,9,"40 Rue B, Fes",313229.0
RiadSalam,122.38,4,1998,1493.71,5,"55 Rue B, Rabat",165562.0
Elhouda,153.95,4,1999,1192.81,5,"11 Rue A, Agadir",155562.0
Haycharaf,111.42,2,1992,4594.12,1,"48 Rue D, Tanger",314253.0
Elhouda,206.23,3,2013,4722.52,6,"26 Rue B, Marrakech",334734.0
Taqaddom,287.32,2,2011,556.47,8,"27 Rue F, Béni Mellal",138254.0
Sisalem,107.87,2,2003,3773.46,6,"31 Rue F, Rabat",280608.0
Alatlas,124.42,4,2016,1891.43,7,"57 Rue F, Tanger",189514.0
Taqaddom,190.44,4,2022,2186.17,4,"18 Rue C, Tanger",207207.0
Sisalem,286.78,2,2011,2610.96,2,"83 Rue A, Rabat",238781.0
Haycharaf,163.23,3,2018,2420.56,1,"54 Rue F, Tanger",216284.0
Almassira1,201.45,2,2008,2817.38,6,"97 Rue A, Agadir",237035.0
Taqaddom,108.31,2,2008,3120.63,9,"94 Rue C, Tanger",245983.0
Haycharaf,129.67,3,1995,2595.18,5,"32 Rue B, Rabat",226126.0
Elhouda,297.33,2,2008,3657.04,2,"7 Rue F, Agadir",293619.0
Haycharaf,293.02,2,2002,3733.71,1,"88 Rue F, Fes",290401.0
Elkasba,100.99,4,2015,2481.62,3,"29 Rue E, Marrakech",213048.0
Elhouda,290.36,3,2011,1141.08,4,"67 Rue C, Agadir",161339.0
Haycharaf,227.82,4,2010,3382.88,7,"57 Rue F, Béni Mellal",271316.0
RiadSalam,273.58,4,1991,3978.31,9,"9 Rue D, Béni Mellal",307000.0
Taqaddom,190.95,3,2019,3371.49,8,"25 Rue A, Fes",273300.0
Haycharaf,203.12,3,2016,3146.25,9,"19 Rue B, Agadir",252686.0
Haycharaf,197.77,2,1996,1532.35,7,"12 Rue B, Rabat",177372.0
RiadSalam,233.37,4,2009,3403.12,8,"71 Rue B, Agadir",272276.0
Alatlas,127.93,3,2020,2006.85,8,"65 Rue A, Marrakech",192240.0
Alatlas,105.99,4,2012,4638.01,1,"93 Rue D, Tanger",319544.0
RiadSalam,161.59,4,2002,3441.74,9,"22 Rue F, Agadir",272880.0
RiadSalam,240.94,3,2006,1751.81,2,"32 Rue D, Agadir",185014.0
Elhouda,140.37,2,1993,2628.17,7,"78 Rue B, Tanger",222833.0
Alatlas,234.69,4,2003,4309.62,5,"37 Rue E, Marrakech",318455.0
Taqaddom,293.98,3,2009,2009.59,4,"82 Rue B, Tanger",209143.0
Almassira1,118.78,2,2002,2864.48,1,"62 Rue A, Tanger",237975.0
Elkasba,234.52,4,1992,3558.51,1,"51 Rue D, Agadir",276500.0
Taqaddom,188.75,3,2015,3895.38,3,"61 Rue D, Marrakech",294665.0
Elkasba,273.63,4,2015,1282.51,1,"65 Rue E, Fes",169593.0
Taqaddom,135.43,3,2007,3043.19,8,"56 Rue B, Marrakech",245434.0
Haycharaf,238.53,3,2021,4604.9,3,"3 Rue D, Marrakech",331609.0
Almassira1,267.62,4,2003,4857.62,2,"11 Rue C, Rabat",348052.0
Sisalem,288.92,4,1992,3452.65,6,"69 Rue B, Rabat",278568.0
Alatlas,236.65,3,1990,4926.47,4,"94 Rue B, Tanger",346638.0
Almassira1,199.43,2,2015,3068.31,4,"49 Rue D, Tanger",250779.0
Taqaddom,223.57,4,2013,2491.72,2,"59 Rue C, Marrakech",226825.0
Elkasba,273.78,3,2003,2982.14,2,"72 Rue E, Marrakech",250260.0
Almassira1,214.12,3,1992,1020.71,6,"10 Rue C, Agadir",149994.0
Haycharaf,106.08,2,2002,2307.72,5,"92 Rue D, Agadir",203150.0
Taqaddom,286.19,2,2003,2562.82,9,"20 Rue B, Béni Mellal",234289.0
Haycharaf,237.91,2,2010,4318.83,4,"2 Rue E, Fes",317813.0
Almassira1,235.3,4,2015,3913.92,5,"93 Rue C, Marrakech",300704.0
Elhouda,143.14,3,1992,3206.42,1,"52 Rue D, Marrakech",255196.0
Haycharaf,231.78,3,1993,2062.75,2,"96 Rue C, Marrakech",204978.0
Sisalem,178.77,3,1990,1341.66,3,"63 Rue C, Fes",
Sisalem,230.25,2,2022,2064.94,5,"76 Rue A, Marrakech",204717.0
Alatlas,121.32,3,1996,3559.12,5,"5 Rue A, Marrakech",268622.0
Sisalem,231.57,4,2000,1683.67,4,"73 Rue B, Agadir",180361.0
Haycharaf,299.88,2,2016,2420.99,3,"98 Rue D, Tanger",231220.0
RiadSalam,109.64,2,2003,2240.47,9,"99 Rue F, Tanger",203451.0
Alatlas,295.43,2,2011,3945.16,1,"66 Rue F, Marrakech",308128.0
Alatlas,181.38,2,2005,4477.04,6,"82 Rue F, Tanger",319203.0
Haycharaf,274.15,4,2001,3647.17,7,"90 Rue A, Fes",
Almassira1,256.48,3,1999,2037.21,4,"50 Rue D, Fes",204813.0
Elhouda,213.4,4,2013,2449.3,3,"32 Rue B, Marrakech",221002.0
Sisalem,247.69,3,2007,1145.08,8,"5 Rue C, Fes",165147.0
Elhouda,275.7,4,2011,1256.44,9,"91 Rue F, Béni Mellal",169997.0
Sisalem,180.83,2,1998,1239.32,1,"90 Rue F, Fes",163414.0
RiadSalam,165.41,2,2006,1087.64,9,"19 Rue C, Rabat",150660.0
Almassira1,233.52,4,2002,1308.12,7,"59 Rue F, Agadir",169655.0
Haycharaf,261.57,4,1995,1412.1,1,"33 Rue B, Rabat",177462.0
Elhouda,252.46,3,2010,1003.31,7,"75 Rue F, Agadir",153078.0
Elhouda,259.56,4,1996,3381.17,5,"2 Rue A, Béni Mellal",273927.0
Haycharaf,187.12,4,2014,4956.81,7,"83 Rue F, Marrakech",346434.0
Almassira1,263.57,3,2000,4456.34,9,"51 Rue F, Rabat",329770.0
Almassira1,124.04,3,2003,705.21,8,"11 Rue E, Agadir",124033.0
Alatlas,208.9,3,2018,2403.76,6,"55 Rue B, Marrakech",222097.0
Sisalem,101.15,4,1999,4366.9,2,"33 Rue F, Tanger",310650.0
RiadSalam,164.92,3,1994,1106.04,8,"65 Rue E, Fes",148541.0
Alatlas,173.29,2,1997,4314.4,4,"49 Rue E, Tanger",308942.0
Haycharaf,179.23,2,1994,3167.15,8,"94 Rue D, Fes",249863.0
Alatlas,239.09,2,2013,4690.84,7,"12 Rue A, Fes",
Taqaddom,177.71,4,2015,4442.18,4,"74 Rue C, Agadir",317088.0
Haycharaf,189.74,2,1995,3546.65,8,"35 Rue F, Agadir",279053.0
Sisalem,147.51,4,2005,3460.2,2,"96 Rue D, Fes",266342.0
Almassira1,174.65,4,2001,1459.24,9,"40 Rue A, Agadir",172845.0
Taqaddom,145.45,2,2000,1025.39,6,"63 Rue A, Béni Mellal",
Elhouda,114.64,3,1992,2369.27,7,"9 Rue F, Marrakech",
Sisalem,220.69,4,1995,1339.61,1,"68 Rue D, Fes",
Haycharaf,233.64,2,2008,960.88,3,"37 Rue F, Marrakech",
RiadSalam,223.9,4,2007,1860.47,5,"22 Rue B, Tanger",195014.0
Taqaddom,192.7,3,2005,4372.2,7,"24 Rue F, Agadir",318825.0
RiadSalam,175.96,3,2012,577.17,1,"26 Rue D, Agadir",
Alatlas,272.67,2,1998,1816.87,9,"65 Rue A, Marrakech",196147.0
Taqaddom,203.82,4,1992,2408.23,5,"73 Rue B, Agadir",215187.0
RiadSalam,195.84,4,1997,2797.56,3,"26 Rue A, Fes",238648.0
Elhouda,105.13,4,1993,1317.1,7,"24 Rue B, Tanger",
Elkasba,168.25,4,2001,4838.99,8,"53 Rue D, Fes",338546.0
Haycharaf,176.04,2,2020,3104.93,3,"80 Rue A, Fes",255684.0
Haycharaf,179.76,3,2014,2849.5,7,"22 Rue A, Tanger",
Sisalem,216.03,2,2005,539.7,7,"11 Rue D, Béni Mellal",125388.0
Taqaddom,206.72,4,2003,2685.72,4,"36 Rue A, Tanger",232982.0
RiadSalam,221.58,4,2002,4269.52,9,"4 Rue E, Agadir",311130.0
Alatlas,252.98,3,1996,1488.4,1,"62 Rue D, Fes",181190.0
Haycharaf,262.6,4,2001,2080.43,1,"98 Rue A, Béni Mellal",210587.0
Haycharaf,243.62,2,1993,592.57,5,"8 Rue C, Béni Mellal",
Alatlas,291.1,2,1991,4896.17,3,"86 Rue E, Béni Mellal",358551.0
Elhouda,103.65,3,1992,799.93,9,"13 Rue B, Rabat",129089.0
RiadSalam,139.16,2,1993,4542.0,5,"1 Rue D, Rabat",320671.0
Haycharaf,101.51,2,2001,1908.44,7,"67 Rue C, Marrakech",184125.0
Sisalem,229.49,2,2008,3144.0,1,"61 Rue C, Rabat",259674.0
Haycharaf,279.61,2,1999,3556.92,2,"55 Rue C, Tanger",283543.0
Almassira1,148.7,4,1990,1133.73,4,"88 Rue C, Tanger",146057.0
Elkasba,285.41,2,2006,2496.92,9,"31 Rue C, Fes",234933.0
Elhouda,112.05,3,2005,1964.6,5,"52 Rue D, Rabat",186565.0
Taqaddom,286.89,3,1998,754.71,5,"8 Rue C, Tanger",146762.0
RiadSalam,170.32,2,1998,4249.37,9,"13 Rue A, Marrakech",307662.0
Alatlas,120.28,3,1998,703.25,8,"90 Rue D, Fes",126783.0
Sisalem,197.17,2,2001,3439.66,2,"18 Rue A, Rabat",271505.0
Elhouda,151.36,3,2004,1913.35,7,"16 Rue E, Tanger",190497.0
Almassira1,156.97,3,1991,1364.58,1,"90 Rue B, Tanger",164563.0
Almassira1,161.46,2,2000,3501.89,9,"58 Rue E, Fes",
Alatlas,260.61,2,2000,3085.42,3,"85 Rue D, Rabat",261177.0
Elkasba,207.83,4,1997,1918.65,2,"53 Rue F, Agadir",191906.0
Almassira1,162.26,2,2021,2808.32,4,"1 Rue F, Tanger",233511.0
Alatlas,222.07,2,1995,1608.07,4,"3 Rue F, Tanger",182317.0
Elkasba,243.23,4,2009,4386.63,3,"6 Rue F, Tanger",325261.0
Elhouda,154.52,2,1997,1912.18,2,"87 Rue D, Agadir",190537.0
RiadSalam,182.71,2,2008,1603.19,5,"78 Rue D, Marrakech",181840.0
Elhouda,124.38,4,1996,3883.25,4,"95 Rue E, Béni Mellal",283276.0
Alatlas,136.23,2,2020,579.17,5,"45 Rue D, Marrakech",118963.0
RiadSalam,236.22,2,2007,1706.05,8,"85 Rue F, Béni Mellal",189947.0
Alatlas,136.29,4,2003,2189.28,2,"94 Rue D, Tanger",202697.0
Elhouda,205.03,4,2006,4470.07,9,"78 Rue B, Fes",325445.0
Haycharaf,241.81,3,1998,4776.99,1,"19 Rue E, Rabat",337783.0
Haycharaf,121.38,2,2009,3724.15,8,"92 Rue E, Béni Mellal",276752.0
Elhouda,213.46,3,2017,2716.39,5,"17 Rue D, Béni Mellal",241474.0
Almassira1,151.31,3,2009,3382.8,2,"39 Rue F, Rabat",262900.0
Almassira1,292.59,4,2016,2363.0,8,"60 Rue B, Marrakech",230183.0
RiadSalam,196.71,2,1997,1844.72,5,"15 Rue D, Fes",192590.0
RiadSalam,261.2,2,2021,4778.1,3,"70 Rue B, Agadir",
Haycharaf,210.05,4,1990,1019.26,7,"28 Rue B, Fes",154433.0
Elkasba,108.68,3,2006,2058.77,4,"90 Rue A, Béni Mellal",
Elhouda,226.63,4,1998,4545.9,6,"56 Rue F, Béni Mellal",328332.0
Elkasba,290.28,2,2009,3754.14,8,"21 Rue C, Marrakech",294543.0
RiadSalam,220.32,4,2021,630.96,1,"99 Rue C, Agadir",133963.0
Elkasba,263.84,2,1991,603.95,2,"93 Rue C, Fes",130488.0
Alatlas,276.84,3,2021,2824.31,8,"61 Rue F, Béni Mellal",250353.0
Taqaddom,145.62,2,1998,2679.14,7,"86 Rue B, Rabat",228847.0
Haycharaf,142.41,3,2019,2493.46,9,"82 Rue F, Marrakech",217271.0
Haycharaf,222.2,3,2009,1860.55,2,"12 Rue F, Tanger",
Alatlas,182.21,2,1990,4939.87,8,"29 Rue E, Rabat",342830.0
RiadSalam,267.97,2,1994,1723.94,6,"9 Rue F, Tanger",
Elhouda,280.0,3,1990,2705.18,1,"49 Rue F, Fes",240862.0
Elhouda,170.68,4,2003,2322.02,4,"95 Rue F, Marrakech",212612.0
Almassira1,147.37,2,1998,1266.12,2,"84 Rue F, Rabat",158801.0
Sisalem,256.11,3,2019,1411.78,7,"56 Rue B, Agadir",171582.0
Alatlas,154.96,3,2013,4632.36,9,"34 Rue A, Tanger",326623.0
Sisalem,264.52,4,1993,4362.26,6,"12 Rue A, Béni Mellal",323213.0
Sisalem,184.75,2,2003,1395.7,4,"44 Rue F, Rabat",168305.0
Elhouda,233.51,3,2014,4440.48,5,"25 Rue F, Béni Mellal",326831.0
RiadSalam,119.11,4,1993,1441.34,1,"74 Rue C, Agadir",162326.0
Haycharaf,224.77,3,2014,3319.46,4,"41 Rue D, Rabat",267407.0
Elhouda,190.35,2,1999,865.76,3,"95 Rue A, Tanger",138495.0
Alatlas,217.32,4,1996,4461.66,9,"8 Rue E, Rabat",324477.0
Alatlas,133.6,3,2002,731.75,6,"25 Rue D, Marrakech",126665.0
Haycharaf,247.37,4,1993,2997.24,4,"41 Rue C, Fes",254146.0
RiadSalam,272.56,2,2003,4008.7,3,"17 Rue E, Fes",308969.0
RiadSalam,143.35,4,2007,1025.76,4,"78 Rue E, Agadir",146454.0
RiadSalam,119.14,2,1997,2320.16,8,"14 Rue D, Béni Mellal",211050.0
Sisalem,104.73,3,2021,688.78,5,"69 Rue D, Tanger",123879.0
Taqaddom,228.39,2,2016,3572.39,1,"19 Rue C, Agadir",276458.0
Elhouda,221.42,3,2012,1883.52,5,"64 Rue F, Marrakech",194633.0
RiadSalam,209.34,3,1996,3017.28,8,"19 Rue E, Tanger",248387.0
Almassira1,146.39,2,2001,4697.3,4,"19 Rue F, Fes",326990.0
RiadSalam,178.18,3,2014,1876.36,2,"90 Rue A, Rabat",184134.0
RiadSalam,218.9,4,1992,718.82,3,"41 Rue C, Rabat",136379.0
Haycharaf,199.35,3,2015,3540.32,9,"89 Rue A, Tanger",276357.0
Elkasba,297.56,2,1993,4040.79,7,"91 Rue E, Marrakech",311609.0
Haycharaf,127.29,4,2004,4810.41,3,"81 Rue B, Marrakech",334326.0
Almassira1,239.03,4,2021,1210.1,5,"38 Rue F, Marrakech",162962.0
Elhouda,180.86,3,2018,2264.63,3,"8 Rue C, Agadir",213402.0
Almassira1,185.64,3,1999,4298.63,4,"92 Rue B, Fes",314744.0
Elkasba,243.52,2,2010,4130.92,8,"29 Rue F, Fes",307992.0
Almassira1,238.49,4,2005,3311.58,3,"7 Rue B, Marrakech",268361.0
RiadSalam,298.25,2,2008,1712.16,3,"94 Rue D, Tanger",
Almassira1,125.68,3,2018,1778.16,8,"85 Rue B, Béni Mellal",182604.0
Elhouda,120.82,4,2007,1058.01,7,"71 Rue D, Tanger",142318.0
RiadSalam,244.87,2,2005,4648.34,7,"55 Rue F, Marrakech",331828.0
RiadSalam,215.68,2,1990,1278.19,2,"45 Rue D, Marrakech",158797.0
RiadSalam,154.83,2,1991,3077.99,7,"10 Rue E, Fes",241871.0
Haycharaf,115.88,2,2004,3129.58,3,"37 Rue C, Fes",245956.0
Taqaddom,117.13,2,2017,2163.22,7,"25 Rue F, Rabat",199399.0
Taqaddom,278.84,4,1990,2086.33,4,"51 Rue A, Agadir",206663.0
Elhouda,138.37,2,1994,3508.65,8,"42 Rue E, Béni Mellal",266183.0
Taqaddom,164.67,4,2011,2247.34,8,"91 Rue C, Marrakech",205545.0
Almassira1,145.33,2,2002,1648.02,6,"84 Rue B, Rabat",171311.0
Elkasba,171.0,3,1990,2296.09,3,"18 Rue D, Fes",209720.0
Sisalem,113.88,3,2005,4134.48,6,"62 Rue C, Agadir",299764.0
Taqaddom,203.81,2,2011,4849.15,6,"27 Rue B, Fes",340200.0
Alatlas,113.52,3,2021,3361.78,3,"26 Rue F, Fes",262989.0
Almassira1,260.07,4,2005,4019.46,4,"2 Rue C, Fes",305619.0
Almassira1,146.74,2,2004,2897.71,2,"74 Rue A, Fes",241221.0
Alatlas,208.0,4,2001,3311.7,1,"19 Rue D, Marrakech",264870.0
Elkasba,276.02,2,1990,4946.39,2,"87 Rue B, Béni Mellal",354065.0
Sisalem,230.18,3,2006,2472.88,7,"13 Rue C, Marrakech",221002.0
Almassira1,206.59,4,2017,798.15,5,"23 Rue A, Béni Mellal",142338.0
Alatlas,164.87,3,1996,4806.53,9,"66 Rue F, Tanger",335759.0
Elhouda,166.6,3,1998,4068.78,3,"76 Rue D, Agadir",
Taqaddom,233.9,2,2011,2292.4,2,"81 Rue F, Marrakech",215644.0
RiadSalam,298.83,4,2015,4920.78,4,"32 Rue A, Béni Mellal",
Alatlas,232.37,3,2001,2054.91,2,"31 Rue D, Marrakech",205685.0
Sisalem,211.56,2,1996,2174.54,7,"39 Rue F, Rabat",205432.0
Alatlas,246.13,2,2004,3243.79,6,"23 Rue F, Fes",268376.0
Alatlas,193.04,2,2010,1734.56,8,"49 Rue F, Fes",181918.0
Elkasba,112.03,3,2003,3643.57,5,"85 Rue A, Marrakech",269575.0
Haycharaf,212.46,2,1991,1187.83,2,"84 Rue D, Tanger",162309.0
RiadSalam,291.53,4,1997,986.11,4,"81 Rue F, Marrakech",157010.0
Haycharaf,135.06,4,1995,2906.95,1,"48 Rue A, Béni Mellal",237950.0
Haycharaf,238.0,3,2022,2999.72,2,"15 Rue A, Béni Mellal",251159.0
Haycharaf,140.19,4,1995,979.95,4,"63 Rue F, Fes",144490.0
Sisalem,207.17,2,2015,4838.79,6,"66 Rue B, Béni Mellal",340860.0
RiadSalam,119.34,3,2003,3079.79,4,"76 Rue E, Rabat",245940.0
Haycharaf,190.07,2,1997,1179.66,4,"62 Rue C, Fes",152978.0
Elhouda,251.23,3,2002,1901.49,2,"96 Rue A, Rabat",197977.0
Haycharaf,169.51,3,2002,4101.05,9,"24 Rue D, Marrakech",301649.0
Elkasba,232.98,2,2017,2854.54,8,"83 Rue F, Marrakech",246568.0
Alatlas,259.09,4,2007,1346.67,8,"39 Rue E, Agadir",172725.0
Elhouda,285.44,4,2008,962.82,5,"13 Rue C, Béni Mellal",153780.0
Almassira1,146.93,3,2021,2438.48,3,"92 Rue E, Agadir",217277.0
Alatlas,179.86,2,2011,2018.37,6,"52 Rue F, Béni Mellal",200978.0
Elkasba,130.48,2,1991,3451.63,9,"51 Rue E, Rabat",260152.0
RiadSalam,298.5,3,2002,4663.61,8,"68 Rue D, Béni Mellal",340314.0
Elhouda,285.4,4,2012,1614.79,7,"67 Rue E, Rabat",188262.0
Taqaddom,207.99,2,2014,4348.55,8,"92 Rue F, Béni Mellal",314530.0
Almassira1,268.41,4,2017,4642.08,4,"97 Rue B, Fes",340310.0
Sisalem,204.19,4,2000,4559.01,6,"16 Rue B, Rabat",328806.0
Sisalem,224.72,3,2022,4784.35,5,"89 Rue B, Béni Mellal",343852.0
Elkasba,117.82,3,2013,4289.49,2,"72 Rue D, Tanger",312462.0
RiadSalam,251.05,4,1991,3170.69,8,"16 Rue A, Agadir",262539.0
Haycharaf,125.54,2,2019,2344.31,3,"74 Rue B, Fes",208765.0
Haycharaf,265.21,2,2006,2712.6,5,"21 Rue A, Rabat",242995.0
Elkasba,256.41,3,2011,4426.75,8,"33 Rue A, Béni Mellal",323776.0
RiadSalam,241.75,4,1994,1856.29,9,"16 Rue E, Tanger",196554.0
Alatlas,107.23,2,2005,1216.68,9,"47 Rue E, Agadir",154435.0
Alatlas,160.63,2,2002,1133.69,5,"55 Rue F, Béni Mellal",154158.0
Alatlas,152.62,3,2015,4221.48,2,"32 Rue C, Béni Mellal",310017.0
Almassira1,172.03,4,2020,3926.69,7,"67 Rue C, Fes",292528.0
Alatlas,117.53,2,2012,2739.4,7,"69 Rue D, Agadir",230695.0
Taqaddom,287.39,3,2001,1736.92,8,"74 Rue D, Fes",193715.0
Elhouda,210.76,2,2003,3549.26,8,"41 Rue E, Tanger",277901.0
Sisalem,161.1,2,2007,672.95,5,"78 Rue E, Rabat",129626.0
Alatlas,179.4,2,2016,3057.03,1,"27 Rue F, Béni Mellal",251494.0
Elkasba,189.44,3,2017,2292.91,4,"85 Rue A, Agadir",212760.0
Elkasba,220.12,4,2007,4900.37,4,"5 Rue B, Agadir",341428.0
Haycharaf,203.14,3,2005,2784.02,3,"39 Rue B, Agadir",238581.0
Taqaddom,283.88,4,2005,2985.2,8,"78 Rue E, Agadir",256874.0
Taqaddom,199.39,2,2002,3705.63,3,"76 Rue C, Tanger",283521.0
Almassira1,298.43,4,2018,2680.42,5,"17 Rue F, Rabat",243536.0
Alatlas,270.28,2,1998,1510.56,2,"55 Rue A, Rabat",179693.0
Alatlas,141.7,2,2015,2917.75,6,"33 Rue C, Marrakech",238917.0
Almassira1,286.12,3,2017,4749.21,6,"84 Rue B, Marrakech",348650.0
Taqaddom,123.27,2,2002,2344.6,8,"59 Rue A, Tanger",
Elhouda,263.49,3,1998,3558.38,8,"87 Rue D, Fes",284877.0
Sisalem,176.12,4,2003,4901.15,1,"19 Rue E, Agadir",339735.0
RiadSalam,275.59,4,2001,4234.65,5,"10 Rue F, Fes",317881.0
Almassira1,273.61,2,2021,3465.65,2,"35 Rue F, Fes",279488.0
Haycharaf,261.19,3,1992,3811.98,5,"83 Rue B, Fes",296333.0
Sisalem,258.01,2,2005,4714.17,9,"48 Rue E, Fes",340334.0
Haycharaf,160.94,3,2009,4818.88,4,"83 Rue E, Rabat",338119.0
Taqaddom,116.18,3,2021,4860.36,8,"21 Rue D, Agadir",340364.0
Sisalem,180.6,3,2012,3315.39,1,"41 Rue D, Marrakech",257308.0
Taqaddom,134.7,4,2006,2231.2,8,"4 Rue E, Agadir",203184.0
Elkasba,238.99,3,2005,1099.19,6,"10 Rue C, Béni Mellal",160132.0
Haycharaf,169.22,4,1997,2234.97,8,"69 Rue A, Fes",207506.0
Almassira1,295.12,3,2008,4743.3,6,"71 Rue D, Béni Mellal",346409.0
Elhouda,228.19,4,2019,4504.09,3,"43 Rue F, Béni Mellal",
Sisalem,264.5,4,2003,2856.47,8,"47 Rue C, Tanger",252209.0
Alatlas,126.5,4,2011,2916.53,5,"19 Rue B, Tanger",241765.0
Almassira1,272.4,2,2006,1890.14,5,"2 Rue A, Marrakech",200599.0
Elhouda,284.55,3,2004,2545.29,7,"29 Rue D, Béni Mellal",238692.0
RiadSalam,197.41,2,2021,3715.02,6,"16 Rue B, Rabat",285777.0
Elhouda,221.25,3,2002,2310.94,9,"94 Rue C, Rabat",216473.0
Sisalem,252.96,3,2010,1345.93,7,"63 Rue A, Rabat",175508.0
Haycharaf,134.97,2,2022,2933.87,3,"45 Rue F, Rabat",235863.0
Haycharaf,200.51,4,2016,1514.02,5,"37 Rue E, Tanger",175520.0
Haycharaf,179.73,3,2005,4884.29,9,"78 Rue A, Béni Mellal",342385.0
RiadSalam,129.27,4,2017,2256.53,2,"22 Rue C, Marrakech",204953.0
Elkasba,173.51,2,1990,4593.49,1,"24 Rue C, Fes",
Sisalem,113.63,4,2020,1514.99,8,"87 Rue E, Rabat",167340.0
Taqaddom,105.16,3,2022,1351.44,8,"77 Rue D, Marrakech",154070.0
Taqaddom,127.03,3,2022,3276.06,2,"76 Rue B, Tanger",261161.0
Taqaddom,292.62,3,2007,4007.21,8,"2 Rue F, Rabat",312472.0
RiadSalam,209.91,2,2012,3050.44,5,"92 Rue B, Fes",252554.0
Haycharaf,293.16,3,2012,1534.08,2,"17 Rue B, Marrakech",183020.0
Alatlas,186.5,2,2004,670.52,7,"73 Rue F, Tanger",126580.0
Alatlas,162.36,4,2015,3282.3,7,"7 Rue F, Fes",258096.0
RiadSalam,201.23,3,2019,1089.67,3,"48 Rue F, Agadir",158238.0
RiadSalam,187.9,3,2014,2044.29,1,"87 Rue E, Marrakech",
Haycharaf,121.13,3,2005,3541.03,4,"91 Rue D, Agadir",267097.0
Haycharaf,228.17,4,2003,941.11,2,"57 Rue C, Marrakech",
RiadSalam,143.21,3,2006,1072.63,4,"65 Rue C, Tanger",145627.0
Sisalem,223.92,2,2001,777.5,8,"55 Rue E, Fes",134928.0
Almassira1,230.04,4,2018,4982.36,2,"30 Rue C, Fes",350102.0
Haycharaf,130.4,4,2021,2241.85,1,"12 Rue C, Marrakech",201963.0
Alatlas,112.27,4,2013,4576.08,3,"99 Rue C, Béni Mellal",321242.0
Almassira1,256.15,4,2002,1821.14,7,"82 Rue A, Béni Mellal",197705.0
Alatlas,191.96,4,2009,3889.41,6,"94 Rue B, Béni Mellal",
Taqaddom,111.63,2,2004,1485.8,6,"22 Rue E, Béni Mellal",165571.0
Haycharaf,298.97,4,1993,2742.46,7,"11 Rue F, Tanger",244433.0
Haycharaf,111.56,3,2017,4210.77,8,"71 Rue D, Béni Mellal",299733.0
Elhouda,239.01,4,1991,4173.5,3,"55 Rue F, Rabat",303523.0
Sisalem,296.74,4,2019,4074.26,3,"94 Rue B, Marrakech",308636.0
Almassira1,147.84,4,2015,4206.8,8,"64 Rue E, Fes",302697.0
Taqaddom,128.45,4,2015,1451.63,7,"87 Rue E, Fes",165902.0
Alatlas,124.28,4,2009,2669.97,5,"16 Rue D, Béni Mellal",226403.0
Almassira1,160.66,2,2017,2681.92,4,"79 Rue B, Fes",233350.0
Elkasba,120.21,2,2009,4507.26,6,"1 Rue F, Marrakech",313932.0
